rel=cannonical	title	parent
http://www.oac.cdlib.org/findaid/ark:/13030/c8rr1wp1	Baker (Frank) papers	ark:/13030/tf129008pn
http://www.oac.cdlib.org/findaid/ark:/13030/kt8c601608	Baker (Frederick) Collection of Avalon City Council Minutes	ark:/13030/tf129008pn
http://www.oac.cdlib.org/findaid/ark:/13030/tf7j49n8ws	Baker (George B.) Papers	ark:/13030/tf4m3nb8sq
http://www.oac.cdlib.org/findaid/ark:/13030/kt9j49s21q	Baker (George Holbrook) Papers	ark:/13030/kt8s2020gp
http://www.oac.cdlib.org/findaid/ark:/13030/kt1779q0j5	Baker (Herbert) Papers	ark:/13030/kt4199r6d2
http://www.oac.cdlib.org/findaid/ark:/13030/c8x928qg	Baker (Hortense and R. Merritt) Photograph Album	ark:/13030/tf4779p5jq
http://www.oac.cdlib.org/findaid/ark:/13030/tf0199n45j	Baker (Howard) The papers of Dorothy and Howard Baker	ark:/13030/tf5r29p4tz
http://www.oac.cdlib.org/findaid/ark:/13030/tf9v19p0gr	Baker (Lillian) Papers	ark:/13030/tf4m3nb8sq
http://www.oac.cdlib.org/findaid/ark:/13030/kt6r29r953	Baker (Mainerd) Collection of scripts	ark:/13030/kt4199r6d2
http://www.oac.cdlib.org/findaid/ark:/13030/kt0f59r759	Baker (Michael H.) Collection of Wire Recordings	ark:/13030/kt1v19q1s6
http://www.oac.cdlib.org/findaid/ark:/13030/kt6779r76c	Baker (O. E.) mimeograph	ark:/13030/tf4m3nb8sq
http://www.oac.cdlib.org/findaid/ark:/13030/kt067n97s8	"Baker, (Obadiah E.) Papers?"	ark:/13030/tf209nb609
http://www.oac.cdlib.org/findaid/ark:/13030/c81v5fg0	"Baker (Samuel K.) (--1864) Letters, 1851-1905"	ark:/13030/kt4c60381d
http://www.oac.cdlib.org/findaid/ark:/13030/c8dn45w1	"Baker (Viroque) (1889-1980) Collection, 1916-1948"	ark:/13030/kt4c60381d
